flux-high.nu_e
50.12	163.0		90.6		58.0		41.7	32.9	27.8	24.6	22.2	20.1	17.7
63.10	152.3		82.1		51.6		36.9	29.1	24.7	22.0	20.0	18.1	15.7
79.43	140.8		74.0		45.9		32.6	25.8	22.1	19.8	18.0	16.2	13.9
100.0	128.8		66.3		40.7		28.9	22.9	19.7	17.7	16.1	14.4	12.3
125.9	116.5		59.0		36.0		25.5	20.3	17.6	15.9	14.5	12.8	10.7
158.5	104.4		52.3		31.8		22.6	18.1	15.7	14.2	12.9	11.4	9.4
199.5		92.5		46.1		28.0		20.0	16.1	14.0	12.7	11.5	10.1	8.1
251.2		81.1		40.3		24.6		17.7	14.3	12.5	11.4	10.3	8.9	7.0
316.2		70.3		35.1		21.6		15.6	12.7	11.2	10.2	9.1	7.8	6.0
398.1		60.3		30.4		18.9		13.8	11.3	10.0	9.1	8.1	6.8	5.1
501.2		51.2		26.2		16.5		12.2	10.1	9.0	8.1	7.2	5.9	4.3
631.0		43.0		22.4		14.4	10.8	9.0	8.0	7.3	6.4	5.1	3.6
794.3		35.8		19.1		12.5		9.5	8.0	7.2	6.5	5.6	4.4	3.0
1000.		29.4		16.2	10.8	8.4	7.2	6.4	5.8	4.9	3.8	2.5
flux-high.nu_mu
1.000	213.5	208.0	202.1	195.8	189.1	182.2	176.1	170.7	165.9	161.9
1.259	245.1	237.3	229.2	221.0	212.6	204.3	196.9	190.5	185.0	180.4
1.585	275.5	264.5	253.8	243.4	233.4	223.8	215.4	208.2	202.1	197.0
1.995	302.8	288.0	274.2	261.5	249.8	239.0	229.7	221.9	215.4	210.2
2.512	327.1	308.3	291.5	276.4	262.8	250.8	240.7	232.3	225.7	220.5
3.162	349.6	327.1	307.3	289.9	274.6	261.2	250.2	241.4	234.6	229.7
3.981	370.6	344.4	321.7	302.1	285.1	270.5	258.7	249.5	242.7	238.0
5.012	390.6	360.4	334.7	312.9	294.5	279.2	266.9	257.4	250.4	245.8
6.310	409.4	374.7	346.0	322.3	302.9	287.2	274.7	265.0	257.9	253.1
7.943	427.2	387.7	355.7	330.2	309.9	294.2	281.6	271.8	264.3	259.2
10.00	444.5	399.4	363.9	336.4	315.4	299.8	287.2	277.1	269.2	263.5
12.59	460.8	409.7	370.5	340.9	319.2	303.6	291.0	280.6	272.3	265.8
15.85	475.6	418.2	375.2	343.5	321.0	305.6	293.0	282.3	273.3	266.0
19.95	488.7	424.9	378.0	344.3	321.0	305.7	293.0	281.9	272.3	264.1
25.12	500.0	429.6	378.9	343.1	319.1	303.9	291.1	279.6	269.3	260.2
31.62	509.6	433.1	379.0	341.4	316.7	301.5	288.5	276.6	265.7	255.7
39.81	517.6	436.4	379.5	340.4	315.0	299.7	286.5	274.2	262.7	252.1
50.12	523.9	439.4	380.5	340.2	314.2	298.4	284.9	272.3	260.4	249.3
63.10	528.4	442.2	382.0	340.8	314.1	297.8	283.9	270.8	258.7	247.4
79.43	531.2	444.6	383.9	342.1	314.7	297.8	283.3	270.0	257.7	246.3
100.0	532.1	446.7	386.3	344.2	316.2	298.4	283.2	269.6	257.2	246.1
125.9	531.7	448.0	388.1	345.9	317.2	298.4	282.6	268.6	256.3	245.3
158.5	530.4	448.0	388.5	346.1	316.6	296.9	280.4	266.0	253.6	242.9
199.5	528.2	446.8	387.4	344.6	314.5	293.7	276.6	261.9	249.3	238.7
251.2	525.2	444.3	384.9	341.6	310.8	289.0	271.2	256.2	243.5	233.0
316.2	521.3	440.6	380.9	337.1	305.5	282.9	264.5	249.0	236.2	225.8
398.1	516.4	435.1	374.9	330.6	298.4	275.2	256.3	240.7	227.8	217.4
501.2	510.3	427.2	366.1	321.4	289.0	265.7	246.8	231.3	218.6	208.3
631.0	503.0	417.3	355.0	309.9	277.6	254.6	236.1	220.9	208.5	198.5
794.3	494.6	405.4	341.7	296.4	264.5	242.3	224.5	209.8	197.8	188.2
1000.	485.3	391.7	326.5	281.1	250.0	228.9	212.0	198.1	186.7	177.4
flux-high.nu_mu_bar
1.000	217.1	210.4	203.3	196.0	188.3	180.6	173.5	167.0	161.1	155.7
1.259	246.6	237.4	228.0	218.4	208.7	199.1	190.4	182.6	175.7	169.6
1.585	274.4	262.2	249.9	237.7	225.6	213.8	203.4	194.5	186.9	180.5
1.995	299.6	283.5	267.9	252.8	238.2	224.3	212.4	202.6	194.6	188.2
2.512	323.6	302.6	283.2	265.0	248.2	232.7	219.7	209.2	200.9	194.6
3.162	348.0	321.3	297.5	276.5	257.7	241.1	227.5	216.4	207.7	201.1
3.981	371.7	338.6	310.5	286.6	266.3	249.1	235.0	223.6	214.5	207.5
5.012	393.4	353.9	321.5	295.0	273.4	255.9	241.6	229.9	220.5	213.2
6.310	412.6	366.6	330.2	301.4	278.9	261.5	247.1	235.3	225.6	218.0
7.943	429.2	377.0	336.7	305.9	282.7	265.4	251.1	239.2	229.4	221.4
10.00	443.5	385.1	341.2	308.4	284.5	267.3	253.2	241.2	231.2	223.0
12.59	455.6	391.0	343.5	308.9	284.3	267.3	253.3	241.3	231.2	222.7
15.85	465.5	394.8	343.7	307.4	282.3	265.6	251.7	239.7	229.4	220.5
19.95	473.2	396.2	341.8	303.9	278.4	262.1	248.5	236.5	225.9	216.6
25.12	478.4	395.3	337.8	298.5	272.8	257.0	243.6	231.6	220.8	211.1
31.62	481.3	393.0	332.8	292.5	266.7	251.3	238.2	226.3	215.3	205.2
39.81	482.1	389.9	328.0	286.9	261.2	246.1	233.3	221.4	210.3	200.0
50.12	480.9	386.3	323.3	281.9	256.2	241.5	228.9	217.1	206.0	195.6
63.10	477.6	382.0	318.7	277.3	251.8	237.3	224.9	213.2	202.2	191.8
79.43	472.2	377.1	314.2	273.2	247.9	233.5	221.3	209.8	198.9	188.7
100.0	464.8	371.6	309.8	269.4	244.4	230.2	218.1	206.8	196.2	186.2
125.9	456.0	365.2	304.8	265.2	240.6	226.5	214.5	203.4	193.0	183.4
158.5	446.2	357.5	298.4	259.6	235.4	221.5	209.7	198.8	188.7	179.3
199.5	435.4	348.6	290.8	252.8	229.1	215.4	203.8	193.1	183.2	174.0
251.2	423.8	338.6	282.0	244.8	221.6	208.2	196.9	186.4	176.6	167.6
316.2	411.5	327.7	272.1	235.7	213.2	200.1	189.1	178.8	169.2	160.3
398.1	398.7	316.4	262.0	226.4	204.3	191.5	180.6	170.4	160.9	152.0
501.2	385.6	305.5	252.4	217.5	195.7	182.7	171.6	161.3	151.6	142.6
631.0	372.3	294.9	243.2	209.1	187.2	173.8	162.3	151.6	141.7	132.5
794.3	358.9	284.6	234.6	201.0	179.0	164.9	152.8	141.6	131.3	121.9
1000.	345.5	274.7	226.4	193.2	170.9	156.0	143.1	131.3	120.7	110.9
